normalized_parcel,address,seismic_rows,rso_unit_count
5554-006-007,8009   Fountain Ave,3,27.0
4337-006-034,8555   Rugby Dr,2,5.0
4337-020-026,351    Huntley Dr,2,4.0
4340-001-009,8903   Harratt St   A,2,10.0
4340-027-018,1020   Carol Dr,2,4.0
5529-011-032,930    Harper Ave,2,4.0
5530-016-018,7705   Romaine St,2,9.0
5531-003-029,1128   Vista St,2,6.0
5531-008-021,1210   Formosa Ave,2,8.0
5554-020-093,1215   Harper Ave   1215-1,2,28.0
5554-021-018,1113   Sweetzer Ave,2,16.0
5554-023-007,1308   Flores St,2,9.0
5554-025-040,1241   Flores St   1241-1,2,24.0
5559-002-016,8623   Holloway Dr,2,32.0
5560-023-004,1123   Larrabee St,2,4.0
4334-001-003,142    Clark Dr,1,9.0
4335-003-022,147    La Peer Dr,1,9.0
4336-002-017,8702   Rosewood Ave,1,6.0
4336-004-015,8704   Dorrington Ave,1,3.0
4336-005-011,8736   Rangely Ave,1,6.0
4336-012-008,507    Almont Dr,1,3.0
4336-012-009,9007   Rangely Ave,1,5.0
4336-013-001,460    Almont Dr,1,3.0
4336-013-019,8823   Dorrington Ave,1,3.0
4336-013-026,8905   Dorrington Ave,1,3.0
4336-021-023,350    Doheny Dr,1,8.0
4336-022-022,408    Doheny Dr,1,6.0
4336-022-023,400    Doheny Dr,1,14.0
4336-024-012,8808   Melrose Ave,1,2.0
4337-002-074,802   West Knoll Dr,1,16.0
4337-003-065,8514   Sherwood Dr,1,12.0
4337-003-067,714   West Knoll Dr,1,6.0
4337-003-074,638    West Knoll Dr,1,7.0
4337-004-049,655   West Knoll Dr,1,8.0
4337-004-052,8568   Sherwood Dr,1,5.0
4337-004-056,720   Westmount Dr   A,1,5.0
4337-004-062,650   Westmount Dr,1,16.0
4337-004-067,624   Westmount Dr,1,4.0
4337-004-141,638   Westmount Dr,1,2.0
4337-005-052,8574   Rugby Dr,1,4.0
4337-007-036,813   Westmount Dr,1,9.0
4337-007-038,821   Westmount Dr,1,9.0
4337-007-044,8600   Rugby Dr,1,10.0
4337-007-052,842   Westbourne Dr,1,10.0
4337-007-053,836   Westbourne Dr,1,16.0
4337-007-057,812   Westbourne Dr,1,10.0
4337-008-020,615    Westmount Dr,1,5.0
4337-008-022,625   Westmount Dr,1,3.0
4337-008-026,653   Westmount Dr,1,4.0
4337-008-041,708   Westbourne Dr,1,2.0
4337-008-045,644   Westbourne Dr,1,8.0
4337-008-067,612   Westbourne Dr,1,10.0
4337-008-100,629   Westmount Dr,1,3.0
4337-009-036,518    West Knoll Dr,1,22.0
4337-011-024,612   Huntley Dr,1,8.0
4337-011-046,613   Westbourne Dr,1,8.0
4337-012-055,455    Westmount Dr,1,2.0
4337-013-043,813   Westbourne Dr,1,20.0
4337-014-037,803   Huntley Dr,1,4.0
4337-014-041,729   Huntley Dr,1,8.0
4337-014-047,701   Huntley Dr,1,2.0
4337-015-029,322    Huntley Dr,1,3.0
4337-018-031,516   San Vicente Blvd,1,4.0
4337-019-025,412    Norwich Dr,1,4.0
4337-020-014,393    Huntley Dr,1,3.0
4339-004-015,8561   West Knoll Dr,1,3.0
4339-006-011,920   Westbourne Dr,1,10.0
4339-006-026,930   Westbourne Dr,1,46.0
4339-007-001,961    Westbourne Dr,1,6.0
4339-007-004,949   Westbourne Dr,1,8.0
4339-007-005,943   Westbourne Dr,1,12.0
4339-007-016,984    Hancock Ave,1,5.0
4339-007-017,978    Hancock Ave,1,4.0
4339-007-032,940    Hancock Ave,1,27.0
4339-007-035,909   Westbourne Dr,1,34.0
4339-008-001,8714   Holloway Dr,1,12.0
4339-008-007,1000   Hancock Ave,1,12.0
4339-008-013,8616   Holloway Dr,1,18.0
4339-009-001,8730   Holloway Dr,1,16.0
4339-009-011,985    Hancock Ave,1,2.0
4339-009-012,979    Hancock Ave,1,4.0
4339-009-031,1016   Palm Ave,1,14.0
4339-009-040,1027   Hancock Ave,1,13.0
4339-010-026,918   Palm Ave,1,3.0
4339-010-037,842    Palm Ave,1,22.0
4339-013-015,909   Palm Ave,1,39.0
4339-015-001,984    Larrabee St,1,3.0
4339-017-017,1000   San Vicente Blvd,1,10.0
4339-017-021,972    San Vicente Blvd,1,2.0
4339-017-033,944    San Vicente Blvd,1,9.0
4339-017-034,969   Larrabee St,1,16.0
4339-018-002,939   Larrabee St,1,10.0
4339-018-030,908   San Vicente Blvd,1,10.0
4340-001-007,1013   San Vicente Blvd,1,12.0
4340-001-008,1007   San Vicente Blvd,1,4.0
4340-002-020,1011   Hilldale Ave,1,14.0
4340-002-055,1012   Hammond St,1,1.0
4340-002-062,1012   Hammond St,1,1.0
4340-004-005,912   Hilldale Ave,1,8.0
4340-004-013,949    San Vicente Blvd,1,8.0
4340-004-018,927   San Vicente Blvd,1,9.0
4340-004-019,923   San Vicente Blvd,1,8.0
4340-004-020,915   San Vicente Blvd,1,11.0
4340-004-022,8911   Cynthia St,1,8.0
4340-004-025,941   San Vicente Blvd,1,20.0
4340-004-026,904   Hilldale Ave,1,9.0
4340-005-008,945    Hilldale Ave,1,5.0
4340-005-010,937   Hilldale Ave,1,9.0
4340-005-017,8951   Cynthia St,1,6.0
4340-005-019,8965   Cynthia St,1,4.0
4340-006-016,866   Hilldale Ave,1,8.0
4340-011-001,9018   Keith Ave,1,8.0
4340-013-022,660    Doheny Dr,1,7.0
4340-014-013,9024   Lloyd Pl,1,2.0
4340-014-020,9052   Lloyd Pl,1,2.0
4340-014-022,742    Doheny Dr,1,4.0
4340-015-002,9015   Keith Ave,1,2.0
4340-015-004,9005   Keith Ave,1,5.0
4340-015-007,8995   Keith Ave,1,9.0
4340-015-018,9002   Lloyd Pl        A,1,3.0
4340-016-002,8961   Keith Ave,1,10.0
4340-017-009,9032   Elevado Ave,1,2.0
4340-017-014,764    Doheny Dr,1,3.0
4340-017-031,9050   Elevado Ave,1,3.0
4340-018-040,9001   Elevado Ave,1,3.0
4340-024-004,915    Wetherly Dr,1,13.0
4340-025-016,9022   Harratt St,1,10.0
4340-025-023,1000   Doheny Dr,1,15.0
4340-025-028,9030   Harratt St,1,27.0
4340-025-029,9031   Phyllis Ave,1,6.0
4340-026-007,1001   Hammond St,1,12.0
4340-026-026,1006   Doheny Dr,1,13.0
4340-027-009,961    Doheny Rd,1,18.0
4340-027-014,1038   Carol Dr,1,4.0
4340-027-019,1016   Carol Dr,1,3.0
4340-027-020,1012   Carol Dr,1,8.0
4340-027-176,1002   Carol Dr,1,3.0
4340-028-009,1000   Cory Ave,1,4.0
4340-028-017,1011   Carol Dr,1,7.0
5528-004-033,550   Flores St,1,8.0
5528-004-034,546   Flores St,1,6.0
5528-004-038,522    Flores St,1,8.0
5528-004-042,506    Flores St,1,7.0
5528-004-048,521    Sweetzer Ave,1,5.0
5528-004-049,525    Sweetzer Ave,1,6.0
5528-004-054,551   Sweetzer Ave,1,7.0
5528-004-055,557   Sweetzer Ave,1,5.0
5528-004-056,8304   Clinton Ave,1,9.0
5528-014-026,560   Kings Rd,1,6.0
5528-014-027,556   Kings Rd,1,8.0
5528-014-028,550   Kings Rd,1,8.0
5528-014-029,546   Kings Rd,1,5.0
5528-014-031,508    Kings Rd,1,5.0
5528-014-032,8355   Rosewood Ave,1,8.0
5528-014-033,8345   Rosewood Ave,1,18.0
5528-014-036,521    Flores St,1,5.0
5528-014-037,525   Flores St,1,5.0
5528-014-038,531   Flores St,1,6.0
5528-014-039,537   Flores St,1,5.0
5528-014-040,541   Flores St,1,5.0
5528-014-041,547   Flores St,1,6.0
5528-014-042,553   Flores St,1,5.0
5528-014-043,557   Flores St,1,7.0
5528-014-044,8334   Clinton Ave,1,10.0
5528-014-046,550   Orlando Ave,1,18.0
5528-014-048,536   Orlando Ave,1,8.0
5528-014-049,530   Orlando Ave,1,5.0
5528-014-053,501    Kings Rd,1,8.0
5528-014-054,509    Kings Rd,1,10.0
5528-014-056,521   Kings Rd,1,2.0
5528-014-057,525   Kings Rd,1,6.0
5528-014-058,531   Kings Rd,1,8.0
5528-014-059,537   Kings Rd,1,6.0
5528-014-060,541   Kings Rd,1,8.0
5528-014-062,551   Kings Rd,1,8.0
5528-014-063,557   Kings Rd,1,5.0
5528-014-064,8360   Clinton Ave,1,7.0
5528-015-014,600   Kings Rd,1,10.0
5528-015-015,8333   Clinton Ave,1,10.0
5528-015-016,607   Flores St,1,6.0
5528-015-017,611   Flores St,1,7.0
5528-015-018,615   Flores St,1,6.0
5528-015-037,604   Flores St,1,6.0
5528-015-038,8315   Clinton Ave,1,10.0
5528-015-040,605   Sweetzer Ave,1,7.0
5528-015-041,611   Sweetzer Ave,1,3.0
5528-015-042,617   Sweetzer Ave,1,6.0
5528-015-045,633   Sweetzer Ave,1,8.0
5528-016-010,630    Orlando Ave,1,5.0
5528-016-011,628    Orlando Ave,1,5.0
5528-016-012,618    Orlando Ave,1,6.0
5528-016-015,8373   Clinton Ave,1,10.0
5528-016-016,601   Kings Rd,1,8.0
5528-016-017,605   Kings Rd,1,6.0
5528-016-018,611   Kings Rd,1,9.0
5528-016-021,625   Kings Rd,1,5.0
5528-016-038,8421   Clinton Ave,1,10.0
5528-016-039,8407   Clinton Ave,1,10.0
5528-016-043,629    Orlando Ave,1,11.0
5528-017-068,8441   Clinton Ave,1,5.0
5528-018-008,532    Croft Ave,1,7.0
5528-018-020,523   Orlando Ave,1,9.0
5528-018-021,527   Orlando Ave,1,7.0
5528-018-022,531   Orlando Ave,1,7.0
5528-018-023,537   Orlando Ave,1,8.0
5528-018-024,541   Orlando Ave,1,8.0
5528-018-028,561   Orlando Ave,1,8.0
5528-018-029,551   Orlando Ave,1,16.0
5528-018-045,505    Alfred St,1,8.0
5528-018-046,515    Alfred St,1,18.0
5529-004-025,819   Sweetzer Ave,1,2.0
5529-004-032,8319   Waring Ave,1,3.0
5529-007-021,1031   Croft Ave,1,5.0
5529-009-034,7905   Romaine St,1,7.0
5529-009-038,1018   Hayworth Ave,1,10.0
5529-009-040,7925   Romaine St,1,25.0
5529-011-010,916   Sweetzer Ave,1,8.0
5529-011-012,906   Sweetzer Ave,1,5.0
5529-011-014,8273   Willoughby Ave,1,5.0
5529-011-022,937    Harper Ave,1,4.0
5529-011-027,919    Harper Ave,1,18.0
5529-011-038,902    Harper Ave,1,3.0
5529-012-010,1001   Harper Ave,1,4.0
5529-012-012,1009   Harper Ave,1,10.0
5529-012-014,1021   Harper Ave,1,10.0
5529-012-018,1031   Harper Ave   1031-1,1,20.0
5529-012-032,1051   Harper Ave,1,10.0
5529-013-009,1008   Harper Ave,1,4.0
5529-014-027,1049   Hayworth Ave,1,12.0
5529-014-029,1035   Hayworth Ave,1,20.0
5529-014-030,1029   Hayworth Ave,1,10.0
5529-014-031,1023   Hayworth Ave,1,9.0
5529-014-033,1009   Hayworth Ave,1,20.0
5529-014-034,1001   Hayworth Ave,1,12.0
5529-014-039,1036   Edinburgh Ave,1,10.0
5529-014-040,1030   Edinburgh Ave,1,9.0
5529-014-041,1026   Edinburgh Ave,1,9.0
5529-014-042,1020   Edinburgh Ave,1,10.0
5529-014-043,1016   Edinburgh Ave,1,10.0
5529-015-030,1050   Laurel Ave,1,8.0
5529-015-031,1046   Laurel Ave,1,10.0
5529-015-032,1040   Laurel Ave,1,9.0
5529-015-033,1036   Laurel Ave,1,7.0
5529-015-036,1020   Laurel Ave,1,9.0
5529-015-037,1016   Laurel Ave,1,10.0
5529-015-038,1012   Laurel Ave,1,10.0
5529-015-041,1009   Edinburgh Ave,1,9.0
5529-015-042,1015   Edinburgh Ave,1,8.0
5529-015-044,1027   Edinburgh Ave,1,8.0
5529-015-045,1035   Edinburgh Ave,1,18.0
5529-015-047,1045   Edinburgh Ave,1,10.0
5529-017-013,901    Havenhurst Dr,1,4.0
5529-018-013,1001   Havenhurst Dr,1,3.0
5529-018-019,1023   Havenhurst Dr,1,4.0
5529-019-012,1006   Havenhurst Dr,1,8.0
5529-019-013,1000   Havenhurst Dr,1,10.0
5529-020-040,940    Hayworth Ave,1,18.0
5529-020-042,924    Hayworth Ave,1,20.0
5529-020-044,914    Hayworth Ave,1,5.0
5529-024-006,1036   Crescent Heights Blvd,1,10.0
5529-024-010,1016   Crescent Heights Blvd,1,8.0
5529-024-011,1010   Crescent Heights Blvd,1,11.0
5529-024-015,1007   Laurel Ave,1,10.0
5529-024-016,1011   Laurel Ave,1,10.0
5529-024-017,1017   Laurel Ave,1,8.0
5529-024-018,1023   Laurel Ave,1,10.0
5529-024-027,1020   Crescent Heights Blvd,1,16.0
5530-001-035,7860   Fountain Ave,1,3.0
5530-002-012,1166   Orange Grove Ave,1,3.0
5530-002-016,1144   Orange Grove Ave,1,14.0
5530-002-028,1133   Ogden Dr,1,12.0
5530-002-029,1135   Ogden Dr,1,10.0
5530-002-030,1145   Ogden Dr,1,22.0
5530-002-032,1155   Ogden Dr,1,11.0
5530-002-035,1211   Ogden Dr,1,22.0
5530-002-044,7804   Fountain Ave,1,2.0
5530-003-007,1236   Ogden Dr,1,10.0
5530-003-013,1160   Ogden Dr,1,22.0
5530-003-016,1140   Ogden Dr,1,10.0
5530-004-006,7719   Hampton Ave,1,20.0
5530-004-016,7622   Fountain Ave,1,8.0
5530-004-027,7621   Hampton Ave,1,7.0
5530-004-029,7635   Hampton Ave,1,20.0
5530-004-031,1229   Spaulding Ave,1,10.0
5530-005-001,1268   Curson Ave,1,12.0
5530-005-002,7550   Fountain Ave,1,10.0
5530-005-005,7530   Fountain Ave,1,10.0
5530-005-006,7526   Fountain Ave,1,10.0
5530-005-009,7512   Fountain Ave,1,10.0
5530-006-012,1200   Curson Ave,1,10.0
5530-006-013,7549   Lexington Ave,1,20.0
5530-006-018,7511   Lexington Ave,1,15.0
5530-007-019,7614   Hampton Ave,1,8.0
5530-007-022,1217   Curson Ave   A,1,2.0
5530-007-026,7611   Lexington Ave,1,8.0
5530-007-032,7639   Lexington Ave,1,3.0
5530-008-002,7730   Lexington Ave,1,14.0
5530-008-016,7642   Lexington Ave,1,2.0
5530-008-019,7626   Lexington Ave,1,8.0
5530-008-022,7610   Lexington Ave,1,8.0
5530-008-024,1169   Curson Ave,1,12.0
5530-008-025,1155   Curson Ave,1,12.0
5530-008-026,7607   Norton Ave,1,10.0
5530-008-028,7615   Norton Ave,1,10.0
5530-008-031,7631   Norton Ave,1,10.0
5530-009-001,1168   Curson Ave,1,12.0
5530-009-002,7548   Lexington Ave,1,16.0
5530-009-005,7530   Lexington Ave,1,23.0
5530-009-006,7518   Lexington Ave,1,22.0
5530-009-009,1153   Gardner St,1,10.0
5530-009-010,1145   Gardner St,1,5.0
5530-009-011,7511   Norton Ave,1,8.0
5530-009-013,7521   Norton Ave,1,8.0
5530-009-015,7529   Norton Ave,1,8.0
5530-009-016,7535   Norton Ave,1,8.0
5530-009-018,7543   Norton Ave,1,10.0
5530-009-019,7551   Norton Ave,1,7.0
5530-009-020,7553   Norton Ave,1,8.0
5530-010-001,1120   Curson Ave,1,14.0
5530-010-002,7554   Norton Ave,1,10.0
5530-010-003,7546   Norton Ave,1,8.0
5530-010-004,7542   Norton Ave,1,8.0
5530-010-005,7538   Norton Ave,1,10.0
5530-010-009,7518   Norton Ave,1,8.0
5530-010-024,7553   Santa Monica Blvd   7553,1,3.0
5530-011-002,7732   Norton Ave,1,6.0
5530-011-004,7718   Norton Ave,1,18.0
5530-011-013,7706   Norton Ave,1,7.0
5530-012-016,1001   Orange Grove Ave,1,12.0
5530-012-017,1005   Orange Grove Ave,1,9.0
5530-012-020,1021   Orange Grove Ave,1,11.0
5530-013-011,1042   Orange Grove Ave,1,8.0
5530-013-012,1036   Orange Grove Ave,1,9.0
5530-013-014,1022   Orange Grove Ave,1,10.0
5530-013-015,1016   Orange Grove Ave,1,10.0
5530-013-016,1010   Orange Grove Ave,1,8.0
5530-013-017,1006   Orange Grove Ave,1,10.0
5530-013-018,1000   Orange Grove Ave,1,12.0
5530-013-019,1001   Ogden Dr,1,20.0
5530-013-023,1027   Ogden Dr,1,10.0
5530-013-024,1031   Ogden Dr,1,10.0
5530-013-025,1037   Ogden Dr,1,10.0
5530-013-026,1041   Ogden Dr,1,8.0
5530-013-027,1047   Ogden Dr,1,10.0
5530-013-028,1051   Ogden Dr,1,10.0
5530-014-007,1050   Ogden Dr,1,9.0
